	Goal
1	Stop the dungeon's monstrous inhabitants from raiding the surface world.
2	Foil a villain's evil scheme.
3	Destroy a magical threat inside the dungeon.
4	Acquire treasure.
5	Find a particular item for a specific purpose.
6	Retrieve a stolen item hidden in the dungeon.
7	Find information needed for a special purpose.
8	Rescue a captive.
9	Discover the fate of a previous adventuring party.
10	Find an N PC who disappeared in the area.
11	Slay a dragon or some other challenging monster.
12	Discover the nature and origin of a strange location or phenomenon.
13	Pursue fleeing foes taking refuge in the dungeon.
14	Escape from captivity in the dungeon.
15	Clear a ruin so it can be rebuilt and reoccupied.
16	Discover why a villain is interested in the dungeon.
17	Win a bet or complete a rite of passage by surviving in the dungeon for a certain amount of time.
18	Parley with a villain in the dungeon.
19	Hide from a threat outside the dungeon.
20	Roll twice, ignoring results of 20.
